[04 maj 2018 at 01:04:20 CEST] - ::players 
[09 May 2018 at 06:55:17 PDT] - ::teletome legit_jens
[09 May 2018 at 06:55:53 PDT] - ::teletome legit_jens
[10 maj 2018 at 08:11:55 CEST] - ::tele 0,49,54,21,14
[10 maj 2018 at 08:11:56 CEST] - ::tele 0,49,54,13,1
[10 maj 2018 at 08:11:57 CEST] - ::tele 0,48,53,62,62
[10 maj 2018 at 08:11:58 CEST] - ::tele 0,48,53,46,58
[10 maj 2018 at 08:33:15 CEST] - ::tele 0,49,54,29,32
[10 maj 2018 at 08:33:51 CEST] - ::tele 0,49,54,29,30
[10 maj 2018 at 09:17:28 CEST] - ::tele 0,42,149,8,28
[10 maj 2018 at 09:36:37 CEST] - ::tele 0,42,149,3,28
[10 maj 2018 at 10:17:23 CEST] - ::tele 0,41,149,52,45
[10 maj 2018 at 10:17:24 CEST] - ::tele 0,41,149,36,51
[10 maj 2018 at 10:17:26 CEST] - ::tele 0,41,149,23,43
[10 maj 2018 at 10:17:28 CEST] - ::tele 0,41,149,25,30
[10 maj 2018 at 10:17:29 CEST] - ::tele 0,41,149,25,18
[10 maj 2018 at 10:17:30 CEST] - ::tele 0,41,149,22,3
[10 maj 2018 at 10:17:33 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:35 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:35 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:35 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:35 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:35 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:35 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:36 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:36 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:36 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:36 CEST] - ::tele 0,41,148,9,58
[10 maj 2018 at 10:17:38 CEST] - ::tele 0,41,148,7,52
[10 maj 2018 at 10:17:39 CEST] - ::tele 0,41,148,7,48
[10 maj 2018 at 10:17:42 CEST] - ::tele 0,41,148,20,45
[10 maj 2018 at 10:42:26 CEST] - ::tele 0,41,149,27,28
[10 maj 2018 at 10:47:51 CEST] - ::tele 1,41,148,12,45
[10 maj 2018 at 10:47:54 CEST] - ::tele 1,41,148,13,37
[10 maj 2018 at 10:47:56 CEST] - ::tele 2,41,148,13,37
[10 maj 2018 at 10:48:09 CEST] - ::tele 1,41,148,11,38
[10 maj 2018 at 10:48:10 CEST] - ::tele 0,41,148,11,38
[10 maj 2018 at 10:48:11 CEST] - ::tele 0,41,148,13,47
[10 maj 2018 at 10:48:55 CEST] - ::tele 1,41,148,13,45
[10 maj 2018 at 10:48:56 CEST] - ::tele 1,41,148,13,45
[10 maj 2018 at 10:48:57 CEST] - ::tele 2,41,148,13,45
[10 maj 2018 at 10:48:59 CEST] - ::tele 2,41,148,12,39
[10 maj 2018 at 10:49:19 CEST] - ::tele 1,41,148,12,38
[10 maj 2018 at 10:49:19 CEST] - ::tele 0,41,148,12,38
[10 maj 2018 at 10:49:20 CEST] - ::tele 0,41,148,12,46
[10 May 2018 at 10:24:14 PDT] - ::tele 0,45,53,47,57
[10 May 2018 at 10:24:37 PDT] - ::tele 0,45,53,51,44
[10 May 2018 at 10:24:40 PDT] - ::tele 0,45,53,48,58
[10 May 2018 at 10:25:00 PDT] - ::tele 0,45,53,44,53
[10 May 2018 at 10:40:29 PDT] - ::setlevel 15 1
[10 May 2018 at 10:43:46 PDT] - ::setlevel 15 item 221 10
[10 maj 2018 at 01:50:47 CEST] - ::overlay 10
[10 maj 2018 at 01:55:29 CEST] - ::master 
[11 maj 2018 at 09:49:01 CEST] - ::tele 0,38,53,27,49
[11 maj 2018 at 09:49:02 CEST] - ::tele 0,38,53,16,42
